text,rating,date
物流很快，包装也很好，商品质量不错，好评！,5,2026-06-01
这款产品真的非常好用，性价比很高，下次还会买,5,2026-06-01
发货太慢了，等了一个星期才收到，差评,1,2026-06-01
包装有点破损，幸好里面东西没坏，一般般吧,3,2026-06-01
质量很差，用了一天就坏了，要求退货退款,1,2026-06-02
还可以，跟描述的差不多，中规中矩,3,2026-06-02
客服态度很好，有问题很快就解决了，点赞,5,2026-06-02
东西不错，就是价格有点贵，总体满意,4,2026-06-02
和图片不符，色差很大，失望透顶,1,2026-06-03
包装简陋，收到的时候外壳都刮花了，差评,1,2026-06-03
很棒的购物体验，商品正品，物流给力,5,2026-06-03
质量一般，没有想象中好，但也不算太差,3,2026-06-03
非常满意，推荐购买,5,2026-06-04
这个吧，说好不好说坏不坏，自己体会,3,2026-06-04
买错型号了，退了，客服处理很快,5,2026-06-04
太垃圾了，完全是假货，再也不买了,1,2026-06-05
外观精美，手感不错，用了几天都挺好,5,2026-06-05
用起来还行，就是电池续航不太给力,3,2026-06-05
刚拆开就有划痕，明显是二手货！,1,2026-06-05
超出预期，价格便宜质量好，五星好评,5,2026-06-06
电池一天就没电了，续航真的很差劲,1,2026-06-06
还没开始用，先给个中评,3,2026-06-06
已经推荐给朋友了，都说挺不错的,5,2026-06-06
做工粗糙，细节处理不到位，不值这个价,1,2026-06-07
暂时没发现什么问题，好评先,5,2026-06-07
